location_id,valid_time,O3,NO2,PM10,PM2.5
AR002,2024-06-03T15:00,43.714,1.014,1.619,1.063
AR002,2024-06-03T18:00,45.775,0.622,1.362,0.863
AR002,2024-06-03T21:00,41.205,1.236,0.949,0.657
AR002,2024-06-04T00:00,40.936,1.443,0.857,0.598
AR002,2024-06-04T03:00,37.809,1.751,0.976,0.681
AR002,2024-06-04T06:00,36.397,1.454,1.039,0.723
AR002,2024-06-04T09:00,37.838,1.070,0.998,0.691
AR002,2024-06-04T12:00,42.017,1.232,1.351,0.940
AR003,2024-05-30T12:00,16.752,13.165,8.751,6.042
AR003,2024-05-30T15:00,41.678,3.875,7.984,5.435
AR003,2024-05-30T18:00,53.083,2.150,9.252,6.295
AR003,2024-05-30T21:00,38.905,6.401,9.942,6.843
AR003,2024-05-31T00:00,20.307,17.616,11.298,7.822
AR003,2024-05-31T03:00,18.345,17.142,10.603,7.377
AR003,2024-05-31T06:00,22.877,11.247,7.823,5.451
AR003,2024-05-31T09:00,26.135,6.609,5.434,3.808
AR003,2024-05-31T12:00,23.207,9.805,6.318,4.432
AR003,2024-05-31T15:00,51.090,2.881,6.867,4.725
AR003,2024-05-31T18:00,61.346,1.302,7.921,5.510
AR003,2024-05-31T21:00,50.383,4.028,7.038,4.903
AR003,2024-06-01T00:00,38.336,7.005,5.944,4.140
AR003,2024-06-01T03:00,36.836,5.108,4.784,3.329
AR003,2024-06-01T06:00,42.209,2.432,6.165,4.300
AR003,2024-06-01T09:00,38.173,2.365,6.361,4.437
AR003,2024-06-01T12:00,19.713,11.614,8.295,5.792
AR003,2024-06-01T15:00,56.809,3.153,8.167,5.606
AR003,2024-06-01T18:00,69.312,1.859,7.649,5.221
AR003,2024-06-01T21:00,51.362,9.670,9.955,6.890
AR003,2024-06-02T00:00,29.696,24.118,12.871,8.940
AR003,2024-06-02T03:00,22.814,25.610,13.503,9.405
AR003,2024-06-02T06:00,21.553,16.087,10.261,7.154
AR003,2024-06-02T09:00,24.250,9.634,8.554,5.981
AR003,2024-06-02T12:00,36.832,7.265,10.232,7.151
AR003,2024-06-02T15:00,39.623,2.371,4.353,3.018
AR003,2024-06-02T18:00,48.292,1.678,3.879,2.559
AR003,2024-06-02T21:00,47.492,3.266,4.152,2.691
AR003,2024-06-03T00:00,38.260,8.116,4.493,2.962
AR003,2024-06-03T03:00,36.722,8.079,4.168,2.746
AR003,2024-06-03T06:00,35.312,6.263,3.960,2.586
AR003,2024-06-03T09:00,32.078,5.379,3.837,2.486
AR003,2024-06-03T12:00,21.549,11.499,5.787,3.873
AR003,2024-06-03T15:00,36.832,3.244,2.578,1.710
AR003,2024-06-03T18:00,40.332,1.951,2.320,1.568
AR003,2024-06-03T21:00,36.355,4.055,2.106,1.441
AR003,2024-06-04T00:00,24.098,10.195,3.125,2.166
AR003,2024-06-04T03:00,27.891,6.771,2.533,1.750
AR003,2024-06-04T06:00,35.425,2.830,2.075,1.424
AR003,2024-06-04T09:00,33.543,2.341,2.544,1.749
AR003,2024-06-04T12:00,28.034,6.105,4.041,2.793
AT001,2024-05-30T12:00,98.323,2.118,21.163,13.662
AT001,2024-05-30T15:00,97.503,3.130,18.426,12.184
AT001,2024-05-30T18:00,66.227,13.818,20.799,14.021
AT001,2024-05-30T21:00,36.484,33.651,28.029,19.087
AT001,2024-05-31T00:00,23.291,35.070,28.731,19.636
AT001,2024-05-31T03:00,31.378,20.536,20.928,14.480
AT001,2024-05-31T06:00,54.829,9.823,19.286,13.365
AT001,2024-05-31T09:00,82.688,5.781,22.028,15.126
AT001,2024-05-31T12:00,94.305,2.223,17.900,12.276
AT001,2024-05-31T15:00,81.490,3.140,14.652,10.167
AT001,2024-05-31T18:00,65.393,6.879,14.121,9.805
AT001,2024-05-31T21:00,56.090,7.545,12.804,9.037
AT001,2024-06-01T00:00,44.984,7.646,9.131,6.438
AT001,2024-06-01T03:00,35.976,6.674,4.270,3.006
AT001,2024-06-01T06:00,43.953,5.183,3.367,2.343
AT001,2024-06-01T09:00,70.707,2.943,3.619,2.528
AT001,2024-06-01T12:00,78.722,2.285,3.484,2.434
AT001,2024-06-01T15:00,75.232,2.710,2.830,1.976
AT001,2024-06-01T18:00,69.394,4.540,2.820,1.960
AT001,2024-06-01T21:00,70.495,4.428,1.926,1.347
AT001,2024-06-02T00:00,71.806,3.225,2.570,1.800
AT001,2024-06-02T03:00,72.765,2.724,3.090,2.169
AT001,2024-06-02T06:00,71.947,2.974,4.148,2.938
AT001,2024-06-02T09:00,80.200,2.000,4.763,3.381
AT001,2024-06-02T12:00,86.159,1.624,6.903,4.886
AT001,2024-06-02T15:00,87.672,2.370,8.230,5.813
AT001,2024-06-02T18:00,67.126,7.967,8.881,6.303
AT001,2024-06-02T21:00,35.126,18.148,11.232,7.943
AT001,2024-06-03T00:00,27.304,12.717,9.699,6.872
AT001,2024-06-03T03:00,30.803,7.379,8.340,5.927
AT001,2024-06-03T06:00,48.722,5.653,11.561,8.079
AT001,2024-06-03T09:00,77.102,2.547,13.579,9.371
AT001,2024-06-03T12:00,84.401,2.139,11.311,7.725
AT001,2024-06-03T15:00,72.852,5.169,16.779,11.190
AT001,2024-06-03T18:00,54.455,10.541,18.766,12.795
AT001,2024-06-03T21:00,52.475,9.772,18.920,12.957
AT001,2024-06-04T00:00,63.849,5.156,15.083,10.289
AT001,2024-06-04T03:00,61.319,4.135,11.863,8.064
AT001,2024-06-04T06:00,55.868,4.791,11.051,7.508
AT001,2024-06-04T09:00,87.657,1.743,11.186,7.642
AT001,2024-06-04T12:00,93.333,1.467,10.287,7.058
AT002,2024-05-30T12:00,93.433,0.915,16.708,11.354
AT002,2024-05-30T15:00,82.564,1.614,13.232,9.164
AT002,2024-05-30T18:00,71.866,3.833,10.960,7.662
AT002,2024-05-30T21:00,46.367,12.650,12.272,8.619
AT002,2024-05-31T00:00,48.435,5.382,8.952,6.321
AT002,2024-05-31T03:00,48.096,3.130,7.352,5.207
AT002,2024-05-31T06:00,49.097,2.913,4.609,3.257
AT002,2024-05-31T09:00,56.776,2.431,1.689,1.200
AT002,2024-05-31T12:00,62.804,2.033,0.781,0.550
AT002,2024-05-31T15:00,61.775,2.508,1.060,0.743
AT002,2024-05-31T18:00,51.887,4.637,1.483,1.041
AT002,2024-05-31T21:00,48.884,5.329,1.700,1.193
AT002,2024-06-01T00:00,53.942,4.124,2.349,1.652
AT002,2024-06-01T03:00,59.192,2.763,1.494,1.052
AT002,2024-06-01T06:00,61.786,2.538,1.172,0.824
AT002,2024-06-01T09:00,68.878,2.595,1.052,0.738
AT002,2024-06-01T12:00,73.584,2.117,1.053,0.737
AT002,2024-06-01T15:00,76.859,2.098,1.406,0.984
AT002,2024-06-01T18:00,75.878,3.009,2.406,1.682
AT002,2024-06-01T21:00,68.775,4.796,2.955,2.065
AT002,2024-06-02T00:00,64.588,3.998,2.594,1.816
AT002,2024-06-02T03:00,60.422,3.302,3.075,2.168
AT002,2024-06-02T06:00,61.152,3.088,5.082,3.593
AT002,2024-06-02T09:00,83.956,1.463,4.627,3.263
AT002,2024-06-02T12:00,85.860,0.894,4.587,3.240
AT002,2024-06-02T15:00,85.025,1.219,5.914,4.196
AT002,2024-06-02T18:00,63.019,5.211,7.420,5.309
AT002,2024-06-02T21:00,56.293,7.790,7.465,5.344
AT002,2024-06-03T00:00,50.188,7.096,6.241,4.464
AT002,2024-06-03T03:00,49.501,4.940,6.230,4.446
AT002,2024-06-03T06:00,59.384,2.937,5.434,3.852
AT002,2024-06-03T09:00,65.136,2.321,3.689,2.581
AT002,2024-06-03T12:00,65.829,1.775,6.934,4.770
AT002,2024-06-03T15:00,72.316,1.876,10.363,6.879
AT002,2024-06-03T18:00,67.322,3.824,15.020,10.038
AT002,2024-06-03T21:00,65.755,4.816,14.984,10.201
AT002,2024-06-04T00:00,66.011,3.719,12.169,8.516
AT002,2024-06-04T03:00,58.149,3.534,11.218,7.911
AT002,2024-06-04T06:00,69.478,2.467,13.582,9.401
AT002,2024-06-04T09:00,88.864,1.013,13.331,9.062
AT002,2024-06-04T12:00,96.560,0.693,12.440,8.475
AU001,2024-05-30T12:00,41.948,9.787,13.676,7.562
AU001,2024-05-30T15:00,42.965,7.341,12.115,6.706
AU001,2024-05-30T18:00,40.133,5.830,12.185,6.705
AU001,2024-05-30T21:00,38.069,4.814,10.502,5.743
AU001,2024-05-31T00:00,32.940,6.835,8.699,4.987
AU001,2024-05-31T03:00,44.429,3.185,8.357,4.581
AU001,2024-05-31T06:00,55.418,1.634,8.761,4.647
AU001,2024-05-31T09:00,51.099,4.349,8.329,4.464
AU001,2024-05-31T12:00,43.624,7.073,8.276,4.549
AU001,2024-05-31T15:00,41.797,5.061,7.080,3.848
AU001,2024-05-31T18:00,38.251,3.335,3.627,2.001
AU001,2024-05-31T21:00,37.723,3.047,1.509,0.907
AU001,2024-06-01T00:00,34.176,5.726,2.018,1.313
AU001,2024-06-01T03:00,39.557,2.696,3.449,2.199
AU001,2024-06-01T06:00,52.746,1.395,3.848,2.241
AU001,2024-06-01T09:00,50.846,3.269,5.439,3.021
AU001,2024-06-01T12:00,48.166,2.955,6.363,3.503
AU001,2024-06-01T15:00,50.982,2.308,12.746,6.831
AU001,2024-06-01T18:00,53.581,1.344,10.735,5.856
AU001,2024-06-01T21:00,53.500,1.978,15.253,8.110
AU001,2024-06-02T00:00,57.787,4.530,25.832,13.564
AU001,2024-06-02T03:00,61.116,1.532,23.389,12.088
AU001,2024-06-02T06:00,59.768,1.840,21.927,11.446
AU001,2024-06-02T09:00,56.310,3.262,20.810,10.936
AU001,2024-06-02T12:00,53.429,3.772,21.723,11.417
AU001,2024-06-02T15:00,51.405,3.591,22.990,12.086
AU001,2024-06-02T18:00,50.707,2.692,22.020,11.584
AU001,2024-06-02T21:00,47.735,3.120,20.686,10.984
AU001,2024-06-03T00:00,33.375,12.083,22.928,12.644
AU001,2024-06-03T03:00,47.608,5.048,27.878,14.873
AU001,2024-06-03T06:00,56.350,3.096,22.113,11.769
AU001,2024-06-03T09:00,51.302,7.320,17.660,9.708
AU001,2024-06-03T12:00,38.379,15.410,18.417,10.602
AU001,2024-06-03T15:00,31.491,17.032,16.668,9.865
AU001,2024-06-03T18:00,23.503,16.886,15.115,9.023
AU001,2024-06-03T21:00,17.174,13.909,12.433,7.458
AU001,2024-06-04T00:00,14.765,10.782,14.706,9.331
AU001,2024-06-04T03:00,46.852,5.426,10.408,6.248
AU001,2024-06-04T06:00,64.142,3.256,7.609,4.646
AU001,2024-06-04T09:00,48.826,14.700,10.407,6.654
AU001,2024-06-04T12:00,21.619,34.295,18.265,12.224
AU002,2024-05-30T12:00,30.308,1.147,5.547,3.631
AU002,2024-05-30T15:00,27.089,1.530,6.721,4.259
AU002,2024-05-30T18:00,24.891,1.182,6.703,4.213
AU002,2024-05-30T21:00,21.899,1.321,7.496,4.827
AU002,2024-05-31T00:00,33.534,0.487,7.431,4.763
AU002,2024-05-31T03:00,38.530,0.269,7.826,5.346
AU002,2024-05-31T06:00,42.077,0.312,7.769,5.226
AU002,2024-05-31T09:00,34.516,1.300,7.216,4.823
AU002,2024-05-31T12:00,25.310,1.996,7.965,5.361
AU002,2024-05-31T15:00,24.662,2.109,9.764,6.593
AU002,2024-05-31T18:00,23.878,2.459,9.794,6.600
AU002,2024-05-31T21:00,18.480,2.090,7.694,5.173
AU002,2024-06-01T00:00,32.391,0.593,8.264,5.694
AU002,2024-06-01T03:00,40.588,0.247,4.798,3.329
AU002,2024-06-01T06:00,43.640,0.259,5.140,3.476
AU002,2024-06-01T09:00,41.599,0.942,5.316,3.602
AU002,2024-06-01T12:00,27.254,2.761,6.216,4.300
AU002,2024-06-01T15:00,21.188,2.915,6.864,4.771
AU002,2024-06-01T18:00,17.531,2.296,7.608,5.270
AU002,2024-06-01T21:00,22.146,1.777,7.391,5.108
AU002,2024-06-02T00:00,39.868,0.536,5.412,3.669
AU002,2024-06-02T03:00,46.572,0.267,4.480,3.023
AU002,2024-06-02T06:00,47.300,0.275,4.828,3.284
AU002,2024-06-02T09:00,42.502,0.894,5.198,3.574
AU002,2024-06-02T12:00,30.186,2.881,7.069,4.891
AU002,2024-06-02T15:00,27.504,2.030,6.840,4.712
AU002,2024-06-02T18:00,34.052,1.019,7.142,4.916
AU002,2024-06-02T21:00,33.827,0.862,7.002,4.787
AU002,2024-06-03T00:00,40.139,0.613,5.698,3.852
AU002,2024-06-03T03:00,48.930,0.329,5.275,3.529
AU002,2024-06-03T06:00,49.560,0.342,5.438,3.634
AU002,2024-06-03T09:00,46.310,0.848,5.396,3.618
AU002,2024-06-03T12:00,34.119,2.074,5.466,3.665
AU002,2024-06-03T15:00,33.253,1.800,6.278,4.098
AU002,2024-06-03T18:00,31.261,1.539,7.430,4.808
AU002,2024-06-03T21:00,27.081,1.391,7.780,5.100
AU002,2024-06-04T00:00,46.423,0.972,7.077,4.659
AU002,2024-06-04T03:00,56.992,0.451,7.118,4.727
AU002,2024-06-04T06:00,60.541,0.486,6.956,4.606
AU002,2024-06-04T09:00,55.030,0.960,7.998,5.179
AU002,2024-06-04T12:00,45.524,1.497,9.547,6.084
AU003,2024-05-30T12:00,50.738,1.444,2.973,1.618
AU003,2024-05-30T15:00,50.514,0.910,4.794,2.542
AU003,2024-05-30T18:00,50.988,0.823,7.798,4.138
AU003,2024-05-30T21:00,53.120,1.381,11.973,6.371
AU003,2024-05-31T00:00,53.279,1.773,12.395,6.664
AU003,2024-05-31T03:00,56.075,0.941,10.991,5.860
AU003,2024-05-31T06:00,53.560,1.721,9.815,5.281
AU003,2024-05-31T09:00,44.692,5.203,9.910,5.498
AU003,2024-05-31T12:00,38.535,9.053,12.447,7.050
AU003,2024-05-31T15:00,35.151,11.470,14.375,8.179
AU003,2024-05-31T18:00,36.918,9.503,13.986,7.890
AU003,2024-05-31T21:00,32.676,10.359,13.978,8.163
AU003,2024-06-01T00:00,32.293,8.774,14.768,8.860
AU003,2024-06-01T03:00,52.189,2.772,8.696,4.772
AU003,2024-06-01T06:00,52.327,2.923,8.589,4.670
AU003,2024-06-01T09:00,39.767,7.986,8.253,4.759
AU003,2024-06-01T12:00,30.985,12.840,10.893,6.471
AU003,2024-06-01T15:00,27.329,13.778,9.980,6.053
AU003,2024-06-01T18:00,31.256,8.735,7.219,4.310
AU003,2024-06-01T21:00,24.963,9.959,6.948,4.184
AU003,2024-06-02T00:00,31.968,6.669,8.129,5.070
AU003,2024-06-02T03:00,51.895,1.693,3.452,2.291
AU003,2024-06-02T06:00,52.375,2.333,3.043,2.082
AU003,2024-06-02T09:00,29.724,15.442,5.561,3.873
AU003,2024-06-02T12:00,21.748,18.213,7.238,5.031
AU003,2024-06-02T15:00,29.594,12.314,4.313,2.966
AU003,2024-06-02T18:00,36.626,5.449,2.916,1.968
AU003,2024-06-02T21:00,34.370,6.096,3.047,2.048
AU003,2024-06-03T00:00,32.847,8.040,4.085,2.786
AU003,2024-06-03T03:00,49.286,2.324,3.184,2.175
AU003,2024-06-03T06:00,49.023,3.362,3.996,2.733
AU003,2024-06-03T09:00,26.350,17.424,8.224,5.703
AU003,2024-06-03T12:00,17.367,17.735,10.409,7.240
AU003,2024-06-03T15:00,14.526,18.974,7.213,5.001
AU003,2024-06-03T18:00,27.490,8.631,3.798,2.600
AU003,2024-06-03T21:00,28.057,7.450,3.469,2.362
AU003,2024-06-04T00:00,28.502,7.624,5.402,3.715
AU003,2024-06-04T03:00,47.519,3.170,3.940,2.717
AU003,2024-06-04T06:00,49.695,3.301,4.377,3.002
